Time,Source IP,Destination IP,Protocol,Type,Src Port,Dst Port,Info
17:25:09,192.168.1.2,14.142.64.16,6,TCP,58286,8081,
17:25:09,192.168.1.1,192.168.1.255,17,UDP,42132,9995,
17:25:10,192.168.1.2,140.82.113.26,6,TCP,57578,443,
17:25:10,192.168.1.2,14.142.64.16,6,TCP,58286,8081,
17:25:10,140.82.113.26,192.168.1.2,6,TCP,443,57578,
17:25:12,192.168.1.2,14.142.64.16,6,TCP,58286,8081,
17:25:15,192.168.1.10,224.0.0.251,17,UDP,5353,5353,
17:25:16,192.168.1.2,14.142.64.16,6,TCP,58286,8081,
17:25:17,192.168.1.1,192.168.1.255,17,UDP,42132,9995,
17:25:17,192.168.1.2,224.0.0.251,17,UDP,5353,5353,
17:25:17,192.168.1.6,224.0.0.251,17,UDP,5353,5353,
17:25:17,192.168.1.2,224.0.0.251,17,UDP,5353,5353,
17:25:17,192.168.1.6,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.2,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.6,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.2,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.6,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.2,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.2,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.6,224.0.0.251,17,UDP,5353,5353,
17:25:18,192.168.1.6,224.0.0.251,17,UDP,5353,5353,
17:25:21,192.168.1.5,224.0.0.251,17,UDP,5353,5353,
17:25:21,192.168.1.5,224.0.0.251,17,UDP,5353,5353,
17:25:21,192.168.1.5,224.0.0.251,17,UDP,5353,5353,
17:25:22,192.168.1.5,224.0.0.251,17,UDP,5353,5353,
17:25:23,192.168.1.5,224.0.0.251,17,UDP,5353,5353,
17:25:24,192.168.1.1,192.168.1.255,17,UDP,42132,9995,
17:25:24,192.168.1.2,14.142.64.16,6,TCP,58286,8081,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,192.168.1.1,192.168.1.2,1,ICMP,-,-,"Type=3, Code=4"
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,13.224.163.5,192.168.1.2,6,TCP,443,58292,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
17:25:24,192.168.1.2,13.224.163.5,6,TCP,58292,443,
